Dateipfad;Architektur;Min. OS Version;Windows Name
"./BT STUFF/ADK_QCC512x_WIN_6_4_Installer_6_4_2_26part3/ADK_QCC512X_QCC302X_WIN_6.4.2.26.exe";"32-Bit";"5.0";"Windows 2000"
"./BT STUFF/ADK_CSR867x.WIN.4.4.0.21.exe";"32-Bit";"4.0";"Unbekannt"
"./BT STUFF/ADK_CSR867x.WIN4.3.1.5 aptX Codec Add-on.exe";"32-Bit";"5.0";"Windows 2000"
"./BT STUFF/ADK_QCC512x_WIN_6_4_Installer_6_4_2_26part2/ADK_QCC512X_QCC302X_WIN_6.4.2.26.exe";"32-Bit";"5.0";"Windows 2000"
"./BT STUFF/ADK_QCC512x_WIN_6_4_Installer_6_4_2_26/ADK_QCC512X_QCC302X_WIN_6.4.2.26.exe";"32-Bit";"5.0";"Windows 2000"
"./BT STUFF/ADK_QCC512x_WIN_6_4_Installer_6_4_2_26part4/ADK_QCC512X_QCC302X_WIN_6.4.2.26.exe";"32-Bit";"5.0";"Windows 2000"
"./BT STUFF/ADK_Toolkit_1.0.1.19_x64.exe";"32-Bit";"5.0";"Windows 2000"
"./BT STUFF/ADK_CSR867x.WIN4.3.1.5.exe";"32-Bit";"5.0";"Windows 2000"
"./Qualcomm-_ADK6.4.0.43/tools/kalaccess_dev/win64/kallockd.exe";"64-Bit";"5.2";"Windows XP 64-Bit / Server 2003"
"./Qualcomm-_ADK6.4.0.43/tools/kalaccess_dev/win32/kallockd.exe";"32-Bit";"5.1";"Windows XP"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/klibversion.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kreadelf.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/elf2kap.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/knm.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kaddr2line.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kar.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kmapper2.exe";"32-Bit";"5.1";"Windows XP"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kcc.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kld.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kalcc32.exe";"32-Bit";"4.0";"Unbekannt"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kalscramble.exe";"32-Bit";"5.1";"Windows XP"
"./Qualcomm-_ADK6.4.0.43/tools/kcc/bin/kstrings.exe";"32-Bit";"4.0";"Unbekannt"
